[1.01763421 0.90772137]
[18.52680677 19.02655586]
[18.89026636 18.278606  ]
[18.4574132  18.83755555]
[18.2719072  18.80963983]
[18.48073219 18.78361225]
[18.75118733 18.38560295]
[18.98601942 18.22662477]
[19.07138636 18.54279291]
[18.88350044 18.45708444]
[18.76452261 18.46045075]
[18.94098499 18.38719738]
[18.83380933 18.47642902]
[18.78335762 18.23149419]
[18.55770564 18.37804941]
[18.77393504 18.39178374]
[18.65950009 18.45385227]
[18.21224534 18.74231226]
[18.31220023 18.6696884 ]
[18.5020327  18.65293915]
[18.31510177 18.77365443]
[18.94617334 17.47543318]
[18.49062116 18.92062878]
[16.7573902  18.82126476]
[ 4.52244301 18.69449608]
[18.7332938 18.3646104]
[18.94867788 18.26494034]
[18.33350069 18.65968052]
[11.92368526 18.82622067]
[17.53016129 18.461834  ]
[18.72897658 18.417618  ]
[18.55119968 18.92219098]
[18.45771506 19.07322216]
[18.37793278 18.94040406]
[18.37844014 19.01565406]
[18.52787245 18.86598548]
[18.90941648 18.40102157]
[18.19871777 18.75763208]
[18.42590479 18.73533231]
[18.35860018 18.67566217]
[16.34160819 18.73824709]
[14.90342422 18.61763588]
[18.21209513 18.75998565]
[18.81804657 18.25487858]
[12.77854264 18.75736964]
[18.48320774 13.71105598]
[18.7088368  17.36443161]
[18.34491035 18.71347624]
[18.25976432 18.70743361]
[ 5.01609442 18.88825055]
[ 2.13729139 17.35821393]
[17.31462568 18.63447951]
[18.35030643 18.87990156]
[18.39208997 18.96710573]
[14.97768365 18.80716667]
[18.12840431  4.65447332]
[16.58931379 18.92732048]
[15.3588826  18.90373684]
[17.53592017 18.79843287]
[17.9966464  18.75627058]
[18.64373701 16.29008148]
[17.00639237 18.7784689 ]
[16.98024169 18.80354863]
[17.26441278 18.89609852]
[18.69571251 15.24458774]
[11.30528011 18.61630511]
[13.06445141 18.72134399]
[16.00167391 18.89917018]
[18.59064871  4.51145373]
[ 2.45746267 17.8367536 ]
[18.55970683 13.12846518]
[15.35041571 18.95096771]
[10.36142692 18.91468686]
[12.87249719 18.6848346 ]
[18.69755977 11.41828221]
[15.63053863 18.88362107]
[ 9.18190934 18.85955547]
[15.48118956 18.84183106]
[ 7.63642628 18.71828065]
[16.17637743  3.25458928]
[ 2.83904971 18.7255915 ]
[ 8.07402624 18.72531945]
[ 4.85519108 18.59638867]
[ 1.94918307 18.72262469]
[ 3.70349717 18.77579379]
[ 4.15719378 18.80365376]
[ 1.96622908 17.31444632]
[18.49697471  3.12902642]
[ 3.54467704 18.77975886]
[10.48122576 18.85072121]
[11.17861303 18.76584718]
[ 2.00512429 18.75781749]
[ 1.57554107 18.78328147]
[ 0.87126584 18.85808605]
[ 8.35025973 18.8555741 ]
[ 3.74348314 18.49408216]
[ 1.34184593 15.19966313]
[ 0.95417304 18.61274543]
[ 1.91755267 18.6877354 ]
[ 2.09541344 18.72842484]
[ 0.84935173 18.78630914]
[ 7.39705965 18.77886253]
[16.3572402   1.87785783]
[ 0.89576941 16.93912398]
[ 0.50910558 18.44091722]
[ 3.51568047 18.80062466]
[ 1.26605048 18.74726986]
[ 0.92225414 17.36223654]
[ 0.71463452 18.80750899]
[ 1.07060809 18.83034779]
[ 0.98132177 18.55998756]
[ 0.59714712 15.21548512]
[ 0.63242081 11.09428771]
[ 0.91481613 18.13000687]
[ 0.5963323  17.72332331]
[ 0.51072888 18.55618667]
[ 0.50035327 18.29350395]
[ 0.53994318 11.51043634]
[ 1.25596542 12.12072022]
[ 0.84136678 18.54798883]
[ 0.66917254 18.78374216]
[ 0.2634746  11.42155782]
[ 0.68047298 18.22263212]
[ 0.67757807 18.85997384]
[ 0.43019346 17.3836535 ]
[0.31606369 7.64642568]
[3.50621479 1.04897381]
[ 0.66761452 16.08628743]
[ 0.71149834 15.50394876]
[ 0.51061838 17.93522175]
[0.26402948 5.41920944]
[0.39234828 4.00188724]
[ 0.36096552 12.54258059]
[ 0.64468001 18.23145584]
[1.48907166 0.78163832]
[ 0.49717355 17.2968916 ]
[ 0.74889465 18.26790677]
[ 0.28871501 10.07556487]
[1.00611841 0.38426109]
[0.33821875 6.9362149 ]
[ 0.27213162 10.50770465]
[ 0.4523648  16.64364091]
[1.55660993 0.41377845]
[3.06693428 0.79553876]
[0.27638895 7.27858617]
[ 0.31188335 14.54453695]
[0.71990382 0.38635954]
[ 0.29225599 13.69987406]
[ 0.37130559 11.16244092]
[1.97678091 0.32023922]
[0.28961637 2.35558067]
[0.18636221 3.54191391]
[ 0.38149688 14.60095659]
[1.12302673 0.70251343]
[0.5187585  3.19407727]
[2.29432961 0.99310527]
[0.42596723 9.877433  ]
[1.22827312 0.54463138]
[0.31671069 8.73460435]
[0.25515986 3.29251028]
[0.19871652 1.36795433]
[1.35270789 0.27158664]
[ 0.30570845 10.95523386]
[0.60241086 2.38996845]
[0.43242948 3.04552173]
[0.36325387 3.70573931]
[0.24853713 3.68149345]
[0.31012101 2.78155157]
[0.20227692 3.00909844]
[0.14984787 0.99924047]
[1.38389537 0.35949876]
[2.26101198 1.20673662]
[0.48561276 3.51000229]
[0.3648952  2.88041788]
[0.23167518 3.01299555]
[0.88898202 0.3401928 ]
[0.25669784 1.87493196]
[0.76770545 0.36734596]
[0.72266593 0.22268101]
[0.34097407 2.04725815]
[0.45211779 3.19312741]
[0.4413341  3.20035943]
[0.2337019  2.37600468]
[0.2144379  1.15046165]
[0.18602095 1.09917251]
[0.17408753 0.69292336]
[0.16715391 0.68146871]
[0.38570555 2.53536782]
[0.4241432  3.10027417]
[0.24190708 2.27930552]
[0.31969614 1.49142073]
[0.92475909 0.34844634]
[0.9813242  0.52357566]
[0.89393599 0.31493774]
[0.39506168 2.55607848]
[0.34274252 2.93410221]
[0.1989572  1.67049254]
[0.24701124 1.29816133]
[0.18309651 0.97487262]
[0.20028545 0.96332408]
[0.2796614  2.04683936]
[0.363013   2.77351431]
[0.16843212 1.69951016]
[0.18564201 1.17574372]
[0.16920542 0.91715102]
[0.18680245 1.10305955]
[0.27894661 2.18667413]
[0.26042788 2.53320525]
[0.1469326  0.99936154]
[0.13456748 0.85799328]
[0.14479097 0.91376678]
[0.27515126 1.92146798]
[0.27785682 2.39294863]
[0.17422628 0.78711593]
[0.13353428 0.61548203]
[0.10464362 0.70993465]
[0.86695522 0.41927233]
[0.6148509 0.1985107]
[0.80324385 0.17290683]
[0.83828233 0.20261952]
[0.72682119 0.16984629]
[0.63856187 0.14522187]
[0.68067108 0.19943469]
[0.19964934 0.66654021]
[0.62300762 0.13850702]
[0.56880119 0.1143258 ]
[0.64439152 0.1092021 ]
[0.55825278 0.10032871]
[0.57631158 0.09264401]
[0.5961803 0.1307609]
[0.67097548 0.12960368]
[0.65161915 0.13445017]
[0.70963415 0.16630338]
[0.76369422 0.16565878]
[0.87512089 0.30800263]
[0.88543595 0.45657961]
[0.85001249 0.27941667]
[0.69340981 0.20201694]
[0.62810853 0.18978541]
[0.15246764 0.52115503]
[0.57271357 0.14581361]
[0.56372613 0.09714916]
[0.56806302 0.10203389]
[0.58311405 0.10148039]
[0.57370696 0.13696649]
[0.62069189 0.11906402]
[0.52174357 0.08592962]
[0.49467094 0.09451439]
[0.53966901 0.07470203]
[0.53377532 0.10459172]
[0.59830133 0.11138977]
[0.59995729 0.09372649]
[0.54693142 0.07392658]
[0.54134496 0.09996988]
[0.50952354 0.08986659]
[0.5417398  0.08977791]
[0.60301323 0.12632804]
[0.58520589 0.10222014]
[0.52844459 0.08980298]
[0.49771276 0.07439418]
[0.53264395 0.05953682]
[0.8284189  0.21786046]
[0.8284206  0.15652141]
[0.74790147 0.90801211]
